DrugBankID	Targets	Fullname
DB00014	148, 226	Goserelin
DB00035	322, 185, 850	Desmopressin
DB00050	226, 148	Cetrorelix
DB00104	503, 3872, 6008	Octreotide
DB00114	114, 420, 358, 435, 367, 169, 586, 472, 449, 801, 280, 203, 855, 763, 301, 534, 10, 727, 89, 3, 499, 184, 575, 681, 735, 665, 455, 349, 306, 491, 868, 574, 795, 3874, 914, 426, 3875, 1152, 3876, 321, 3877, 3878, 3879, 3880, 3881, 3882, 3883, 3884, 3885, 3886, 3887, 3890, 3891, 3893, 3894, 3895, 3896, 7115, 7122, 3899, 3900, 3901, 3903, 3904, 3905, 3906, 3908, 3909, 431, 3910, 3911, 3913, 3914, 3915	Pyridoxal Phosphate
DB00115	809, 854, 840, 354, 3916, 3917	Cyanocobalamin
DB00116	679, 296, 13, 59, 1202, 809, 914, 2287, 367, 321, 3917, 3879, 3884, 3885, 3918, 3901, 3919, 3920	Tetrahydrofolic acid
DB00117	3, 815, 314, 96	L-Histidine
DB00118	411, 113, 334, 358, 453, 3810	S-Adenosylmethionine
DB00119	500, 199, 114, 429, 52, 195, 489, 110, 98, 280, 218, 397, 738, 771	Pyruvic acid
DB00120	763, 866, 42, 828, 31, 618, 676	L-Phenylalanine
DB00121	601, 177, 105, 81, 775, 495, 771, 547, 690	Biotin
DB00122	549, 474, 677, 3922, 3923, 3924, 3929	Choline
DB00123	235, 58, 150, 619, 221	L-Lysine
DB00125	291, 150, 499, 577, 7, 235, 834, 58, 740	L-Arginine
DB00126	6847, 2485, 874, 2260, 3935, 3839, 3938, 3940, 153, 3943, 67, 3945, 3946, 3948, 3949, 3951, 3953, 3954, 3956, 3958, 3960, 189, 97, 3962, 3964, 3966	Vitamin C
DB00127	1317, 623, 874, 449	Spermine
DB00128	5682, 6252, 513, 586, 305, 209, 242, 740, 533, 426, 799, 262, 585, 3969, 3971, 3972, 1671, 3877, 3975, 865, 3976, 3977, 3978, 3979	L-Aspartic Acid
DB00129	472, 336, 315, 410, 619, 285, 58, 235, 834, 224, 150, 3980, 383, 3981	L-Ornithine
DB00130	1008, 413, 3987	L-Glutamine
DB00131	1291, 874, 2347, 541, 10, 281, 2684, 2358, 821, 386, 748, 851, 297, 704, 4198, 6021	Adenosine monophosphate
DB00132	1053, 3993, 1395, 1558, 3994	Alpha-Linolenic Acid
DB00133	358, 184, 431, 727, 491, 72, 349	L-Serine
DB00134	840, 809, 2795, 941, 3996	L-Methionine
DB00135	676, 399, 256, 763	L-Tyrosine
DB00136	856	Calcitriol
DB00137		Xanthophyll
DB00138	33, 38, 3998, 1963	L-Cystine
DB00139	4006, 4007, 4008, 3964, 4009, 4010, 197, 1410, 673, 498, 25, 391, 3999, 4000, 3938, 3940, 67, 4001, 170, 4002, 4003, 97, 585, 3945, 3949, 3951	Succinic acid
DB00140	408, 5698, 654	Riboflavin
DB00141	4011, 4012, 4013, 4014, 4015, 434, 121, 287	N-Acetyl-D-glucosamine
DB00142	916, 925, 919, 920, 926, 927, 4016, 4017, 3982, 795, 439, 4018, 591, 3984, 917, 426, 210, 242, 3987, 586, 763, 735, 448, 1912, 1047, 1671, 186, 4019, 830, 355, 574, 280, 401, 773, 4020, 837, 464, 505, 3877, 4021, 4022, 3991, 3895, 4023, 801, 706, 3904, 4024, 4025, 83, 5, 4026, 4027, 33, 7150, 665, 201, 382, 705, 668, 625, 664, 420, 914, 921, 923, 922, 915, 918, 924	L-Glutamic Acid
DB00143	4029, 2101, 4030, 4031, 3932, 4032, 4033, 1056, 2165, 4034, 1975, 4035, 4036, 3319, 4037, 4038, 4039, 4040, 4041, 4042, 4043, 1313, 1928, 714, 207, 896, 897, 898, 899, 900, 901, 903, 904, 905, 906, 907, 908, 909, 910, 911	Glutathione
DB00144	4047, 4048, 4051, 4052, 4053, 1477, 1970, 1848, 743, 211	Phosphatidylserine
DB00145	575, 455, 1088, 4054, 1466, 837, 4055, 4056, 207, 505, 3879, 3884, 3885, 4057, 593, 3901, 4058, 4059, 114, 4060, 4061, 4062, 591, 681, 1236, 482, 349, 62, 367, 461, 820, 411, 321, 383	Glycine
DB00146	856	Calcidiol
DB00147	48	Pyridoxal
DB00148	788, 192, 92, 456, 414, 624	Creatine
DB00149	227, 795, 574, 675, 501, 846	L-Leucine
DB00150	4063, 2452, 252	L-Tryptophan
DB00151	668, 186, 171, 586, 868, 358, 774, 1999, 207, 1314, 4064, 89, 169, 626	L-Cysteine
DB00152	175, 6010	Thiamine
DB00153	856	Ergocalciferol
DB00154	20, 290	gamma-Homolinolenic acid
DB00155	740, 670, 865, 843, 336, 76, 7, 291, 4065, 4066, 4067, 4068, 1814	L-Citrulline
DB00156	534, 261, 4069	L-Threonine
DB00157	711, 251, 328, 396, 517, 444, 579, 231, 326, 12, 822, 350, 857, 473, 166, 454, 112, 167, 77, 643, 419, 363, 196, 646, 141, 372, 631, 666, 180, 206, 848, 616, 14, 217, 9, 627, 393, 635, 487, 796, 650, 609, 729, 139, 364, 66, 57, 838, 288, 147, 145, 686, 50, 216, 258, 792, 611, 794, 316, 640, 531, 496, 599, 569, 662, 170, 149, 654, 802, 248, 201, 110, 671, 628, 816, 839, 365, 182, 830, 34, 243, 721, 83, 219, 337, 679, 296, 271, 178, 598, 608, 597, 559, 11, 525, 335, 300, 91, 446, 247, 384, 637, 190, 236, 602, 607, 405, 755, 746, 194, 374, 548, 272, 324, 313, 475, 568, 656, 803, 270, 343, 417, 30, 812, 214, 714, 829, 99, 555, 539, 152, 582, 626, 104, 353, 41, 468, 74, 13, 107, 810, 644, 380, 279	NADH
DB00158	299, 718	Folic Acid
DB00159	290, 20, 238, 1502, 1053, 1457, 1818, 759, 1395, 1558	Icosapent
