DrugBankID	Name	Status
DB00014	Goserelin	approved
DB00035	Desmopressin	approved
DB00050	Cetrorelix	approved
DB00104	Octreotide	approved
DB00114	Pyridoxal Phosphate	
DB00115	Cyanocobalamin	approved
DB00116	Tetrahydrofolic acid	approved
DB00117	L-Histidine	approved
DB00118	S-Adenosylmethionine	approved
DB00119	Pyruvic acid	approved
DB00120	L-Phenylalanine	approved
DB00121	Biotin	approved
DB00122	Choline	approved
DB00123	L-Lysine	approved
DB00125	L-Arginine	approved
DB00126	Vitamin C	approved
DB00127	Spermine	approved
DB00128	L-Aspartic Acid	approved
DB00129	L-Ornithine	approved
DB00130	L-Glutamine	approved
DB00131	Adenosine monophosphate	approved
DB00132	Alpha-Linolenic Acid	approved
DB00133	L-Serine	approved
DB00134	L-Methionine	approved
DB00135	L-Tyrosine	approved
DB00136	Calcitriol	approved
DB00137	Xanthophyll	approved
DB00138	L-Cystine	approved
DB00139	Succinic acid	approved
DB00140	Riboflavin	approved
DB00141	N-Acetyl-D-glucosamine	approved
DB00142	L-Glutamic Acid	approved
DB00143	Glutathione	approved
DB00144	Phosphatidylserine	approved
DB00145	Glycine	approved
DB00146	Calcidiol	approved
DB00147	Pyridoxal	approved
DB00148	Creatine	approved
DB00149	L-Leucine	approved
DB00150	L-Tryptophan	approved
DB00151	L-Cysteine	approved
DB00152	Thiamine	approved
DB00153	Ergocalciferol	approved
DB00154	gamma-Homolinolenic acid	approved
DB00155	L-Citrulline	approved
DB00156	L-Threonine	approved
DB00157	NADH	approved
DB00158	Folic Acid	approved
DB00159	Icosapent	approved
DB00160	L-Alanine	approved
DB00161	L-Valine	approved
DB00162	Vitamin A	approved
DB00163	Vitamin E	approved
DB00165	Pyridoxine	approved
DB00166	Lipoic Acid	approved
DB00167	L-Isoleucine	approved
DB00168	Aspartame	approved
DB00169	Cholecalciferol	approved
DB00170	Menadione	approved
DB00171	Adenosine triphosphate	approved
DB00172	L-Proline	approved
DB00173	Adenine	approved
DB00174	L-Asparagine	approved
DB00175	Pravastatin	approved
DB00176	Fluvoxamine	approved
DB00177	Valsartan	approved
DB00178	Ramipril	approved
DB00179	Masoprocol	approved
DB00180	Flunisolide	approved
DB00181	Baclofen	approved
DB00182	Amphetamine	
DB00183	Pentagastrin	approved
DB00184	Nicotine	approved
DB00185	Cevimeline	approved
DB00186	Lorazepam	approved
DB00187	Esmolol	approved
DB00188	Bortezomib	approved
DB00189	Ethchlorvynol	
DB00190	Carbidopa	approved
DB00191	Phentermine	
DB00192	Indecainide	approved
DB00193	Tramadol	approved
DB00194	Vidarabine	approved
